user_id,cluster,segment
100263,1,Low Engagement / At-Risk
100264,0,High Engagement
100265,0,High Engagement
100266,0,High Engagement
100267,0,High Engagement
100268,0,High Engagement
100269,0,High Engagement
100270,2,Moderate Engagement
100271,2,Moderate Engagement
100272,0,High Engagement
100273,3,Occasional / Content-Light
100274,0,High Engagement
100275,0,High Engagement
100276,1,Low Engagement / At-Risk
100277,1,Low Engagement / At-Risk
100278,0,High Engagement
100279,3,Occasional / Content-Light
100280,0,High Engagement
100281,3,Occasional / Content-Light
100282,3,Occasional / Content-Light
100283,0,High Engagement
100284,1,Low Engagement / At-Risk
100285,0,High Engagement
100286,0,High Engagement
100287,1,Low Engagement / At-Risk
100288,3,Occasional / Content-Light
100289,1,Low Engagement / At-Risk
100290,3,Occasional / Content-Light
100291,0,High Engagement
100292,3,Occasional / Content-Light
100293,1,Low Engagement / At-Risk
100294,2,Moderate Engagement
100295,1,Low Engagement / At-Risk
100296,0,High Engagement
100297,0,High Engagement
100298,2,Moderate Engagement
100299,1,Low Engagement / At-Risk
100300,0,High Engagement
100301,3,Occasional / Content-Light
100302,0,High Engagement
100303,0,High Engagement
100304,1,Low Engagement / At-Risk
100305,3,Occasional / Content-Light
100306,2,Moderate Engagement
100307,3,Occasional / Content-Light
100308,3,Occasional / Content-Light
100309,1,Low Engagement / At-Risk
100310,1,Low Engagement / At-Risk
100311,2,Moderate Engagement
100312,2,Moderate Engagement
100313,1,Low Engagement / At-Risk
100314,3,Occasional / Content-Light
100315,3,Occasional / Content-Light
100316,3,Occasional / Content-Light
100317,1,Low Engagement / At-Risk
100318,2,Moderate Engagement
100319,0,High Engagement
100320,3,Occasional / Content-Light
100321,1,Low Engagement / At-Risk
100322,3,Occasional / Content-Light
100323,0,High Engagement
100324,0,High Engagement
100325,0,High Engagement
100326,0,High Engagement
100327,2,Moderate Engagement
100328,0,High Engagement
100329,1,Low Engagement / At-Risk
100330,2,Moderate Engagement
100331,3,Occasional / Content-Light
100332,0,High Engagement
100333,0,High Engagement
100334,3,Occasional / Content-Light
100335,0,High Engagement
100336,2,Moderate Engagement
100337,2,Moderate Engagement
100338,2,Moderate Engagement
100339,0,High Engagement
100340,2,Moderate Engagement
100341,0,High Engagement
100342,1,Low Engagement / At-Risk
100343,2,Moderate Engagement
100344,3,Occasional / Content-Light
100345,2,Moderate Engagement
100346,1,Low Engagement / At-Risk
100347,0,High Engagement
100348,2,Moderate Engagement
100349,1,Low Engagement / At-Risk
100350,0,High Engagement
100351,1,Low Engagement / At-Risk
100352,2,Moderate Engagement
100353,2,Moderate Engagement
100354,0,High Engagement
100355,3,Occasional / Content-Light
100356,1,Low Engagement / At-Risk
100357,2,Moderate Engagement
100358,0,High Engagement
100359,1,Low Engagement / At-Risk
100360,2,Moderate Engagement
100361,2,Moderate Engagement
100362,1,Low Engagement / At-Risk
100363,1,Low Engagement / At-Risk
100364,0,High Engagement
100365,2,Moderate Engagement
100366,1,Low Engagement / At-Risk
100367,1,Low Engagement / At-Risk
100368,0,High Engagement
100369,1,Low Engagement / At-Risk
100370,0,High Engagement
100371,2,Moderate Engagement
100372,2,Moderate Engagement
100373,3,Occasional / Content-Light
100374,0,High Engagement
100375,0,High Engagement
100376,0,High Engagement
100377,0,High Engagement
100378,2,Moderate Engagement
100379,0,High Engagement
100380,3,Occasional / Content-Light
100381,1,Low Engagement / At-Risk
100382,2,Moderate Engagement
100383,3,Occasional / Content-Light
100384,1,Low Engagement / At-Risk
100385,2,Moderate Engagement
100386,0,High Engagement
100387,3,Occasional / Content-Light
100388,0,High Engagement
100389,1,Low Engagement / At-Risk
100390,0,High Engagement
100391,2,Moderate Engagement
100392,2,Moderate Engagement
100393,3,Occasional / Content-Light
100394,1,Low Engagement / At-Risk
100395,0,High Engagement
100396,2,Moderate Engagement
100397,0,High Engagement
100398,0,High Engagement
100399,0,High Engagement
100400,0,High Engagement
100401,0,High Engagement
100402,0,High Engagement
100403,2,Moderate Engagement
100404,2,Moderate Engagement
100405,1,Low Engagement / At-Risk
100406,3,Occasional / Content-Light
100407,1,Low Engagement / At-Risk
100408,1,Low Engagement / At-Risk
100409,3,Occasional / Content-Light
100410,0,High Engagement
100411,3,Occasional / Content-Light
100412,2,Moderate Engagement
100413,3,Occasional / Content-Light
100414,1,Low Engagement / At-Risk
100415,1,Low Engagement / At-Risk
100416,1,Low Engagement / At-Risk
100417,0,High Engagement
100418,0,High Engagement
100419,2,Moderate Engagement
100420,0,High Engagement
100421,0,High Engagement
100422,1,Low Engagement / At-Risk
100423,2,Moderate Engagement
100424,1,Low Engagement / At-Risk
100425,3,Occasional / Content-Light
100426,0,High Engagement
100427,3,Occasional / Content-Light
100428,0,High Engagement
100429,2,Moderate Engagement
100430,2,Moderate Engagement
100431,2,Moderate Engagement
100432,0,High Engagement
100433,2,Moderate Engagement
100434,0,High Engagement
100435,3,Occasional / Content-Light
100436,3,Occasional / Content-Light
100437,2,Moderate Engagement
100438,3,Occasional / Content-Light
100439,2,Moderate Engagement
100440,2,Moderate Engagement
100441,3,Occasional / Content-Light
100442,0,High Engagement
100443,2,Moderate Engagement
100444,3,Occasional / Content-Light
100445,3,Occasional / Content-Light
100446,1,Low Engagement / At-Risk
100447,0,High Engagement
100448,0,High Engagement
100449,1,Low Engagement / At-Risk
100450,0,High Engagement
100451,3,Occasional / Content-Light
100452,2,Moderate Engagement
100453,0,High Engagement
100454,2,Moderate Engagement
100455,2,Moderate Engagement
100456,0,High Engagement
100457,2,Moderate Engagement
100458,3,Occasional / Content-Light
100459,2,Moderate Engagement
100460,0,High Engagement
100461,3,Occasional / Content-Light
100462,1,Low Engagement / At-Risk
100463,0,High Engagement
100464,3,Occasional / Content-Light
100465,0,High Engagement
100466,0,High Engagement
100467,1,Low Engagement / At-Risk
100468,1,Low Engagement / At-Risk
100469,2,Moderate Engagement
100470,0,High Engagement
100471,0,High Engagement
100472,3,Occasional / Content-Light
100473,1,Low Engagement / At-Risk
100474,0,High Engagement
100475,3,Occasional / Content-Light
100476,2,Moderate Engagement
100477,1,Low Engagement / At-Risk
100478,0,High Engagement
100479,0,High Engagement
100480,3,Occasional / Content-Light
100481,0,High Engagement
100482,0,High Engagement
100483,1,Low Engagement / At-Risk
100484,2,Moderate Engagement
100485,1,Low Engagement / At-Risk
100486,1,Low Engagement / At-Risk
100487,2,Moderate Engagement
100488,0,High Engagement
100489,2,Moderate Engagement
100490,0,High Engagement
100491,2,Moderate Engagement
100492,3,Occasional / Content-Light
100493,1,Low Engagement / At-Risk
100494,3,Occasional / Content-Light
100495,2,Moderate Engagement
100496,0,High Engagement
100497,2,Moderate Engagement
100498,2,Moderate Engagement
100499,1,Low Engagement / At-Risk
100500,1,Low Engagement / At-Risk
100501,1,Low Engagement / At-Risk
100502,0,High Engagement
100503,2,Moderate Engagement
100504,2,Moderate Engagement
100505,1,Low Engagement / At-Risk
100506,2,Moderate Engagement
100507,1,Low Engagement / At-Risk
100508,0,High Engagement
100509,3,Occasional / Content-Light
100510,0,High Engagement
100511,2,Moderate Engagement
100512,2,Moderate Engagement
100513,0,High Engagement
100514,0,High Engagement
100515,2,Moderate Engagement
100516,3,Occasional / Content-Light
100517,1,Low Engagement / At-Risk
100518,2,Moderate Engagement
100519,1,Low Engagement / At-Risk
100520,2,Moderate Engagement
100521,2,Moderate Engagement
100522,2,Moderate Engagement
100523,0,High Engagement
100524,0,High Engagement
100525,1,Low Engagement / At-Risk
100526,0,High Engagement
100527,0,High Engagement
100528,1,Low Engagement / At-Risk
100529,3,Occasional / Content-Light
100530,1,Low Engagement / At-Risk
100531,0,High Engagement
100532,0,High Engagement
100533,2,Moderate Engagement
100534,2,Moderate Engagement
100535,2,Moderate Engagement
100536,1,Low Engagement / At-Risk
100537,0,High Engagement
100538,2,Moderate Engagement
100539,1,Low Engagement / At-Risk
100540,1,Low Engagement / At-Risk
100541,1,Low Engagement / At-Risk
100542,2,Moderate Engagement
100543,0,High Engagement
100544,2,Moderate Engagement
100545,0,High Engagement
100546,0,High Engagement
100547,2,Moderate Engagement
100548,0,High Engagement
100549,2,Moderate Engagement
100550,0,High Engagement
100551,1,Low Engagement / At-Risk
100552,0,High Engagement
100553,1,Low Engagement / At-Risk
100554,1,Low Engagement / At-Risk
100555,0,High Engagement
100556,0,High Engagement
100557,2,Moderate Engagement
100558,3,Occasional / Content-Light
100559,1,Low Engagement / At-Risk
100560,0,High Engagement
100561,1,Low Engagement / At-Risk
100562,1,Low Engagement / At-Risk
100563,2,Moderate Engagement
100564,0,High Engagement
100565,1,Low Engagement / At-Risk
100566,3,Occasional / Content-Light
100567,2,Moderate Engagement
100568,0,High Engagement
100569,1,Low Engagement / At-Risk
100570,1,Low Engagement / At-Risk
100571,0,High Engagement
100572,2,Moderate Engagement
100573,1,Low Engagement / At-Risk
100574,2,Moderate Engagement
100575,0,High Engagement
100576,1,Low Engagement / At-Risk
100577,1,Low Engagement / At-Risk
100578,1,Low Engagement / At-Risk
100579,2,Moderate Engagement
100580,1,Low Engagement / At-Risk
100581,0,High Engagement
100582,2,Moderate Engagement
100583,1,Low Engagement / At-Risk
100584,2,Moderate Engagement
100585,0,High Engagement
100586,3,Occasional / Content-Light
100587,2,Moderate Engagement
100588,0,High Engagement
100589,1,Low Engagement / At-Risk
100590,0,High Engagement
100591,1,Low Engagement / At-Risk
100592,1,Low Engagement / At-Risk
100593,1,Low Engagement / At-Risk
100594,1,Low Engagement / At-Risk
100595,2,Moderate Engagement
100596,3,Occasional / Content-Light
100597,3,Occasional / Content-Light
100598,2,Moderate Engagement
100599,2,Moderate Engagement
100600,3,Occasional / Content-Light
100601,0,High Engagement
100602,2,Moderate Engagement
100603,1,Low Engagement / At-Risk
100604,0,High Engagement
100605,0,High Engagement
100606,3,Occasional / Content-Light
100607,2,Moderate Engagement
100608,0,High Engagement
100609,3,Occasional / Content-Light
100610,0,High Engagement
100611,1,Low Engagement / At-Risk
100612,0,High Engagement
100613,0,High Engagement
100614,1,Low Engagement / At-Risk
100615,0,High Engagement
100616,3,Occasional / Content-Light
100617,2,Moderate Engagement
100618,2,Moderate Engagement
100619,0,High Engagement
100620,1,Low Engagement / At-Risk
100621,3,Occasional / Content-Light
100622,0,High Engagement
100623,0,High Engagement
100624,2,Moderate Engagement
100625,2,Moderate Engagement
100626,3,Occasional / Content-Light
100627,2,Moderate Engagement
100628,2,Moderate Engagement
100629,0,High Engagement
100630,2,Moderate Engagement
100631,3,Occasional / Content-Light
100632,2,Moderate Engagement
100633,2,Moderate Engagement
100634,0,High Engagement
100635,2,Moderate Engagement
100636,3,Occasional / Content-Light
100637,2,Moderate Engagement
100638,0,High Engagement
100639,2,Moderate Engagement
100640,0,High Engagement
100641,3,Occasional / Content-Light
100642,2,Moderate Engagement
100643,2,Moderate Engagement
100644,2,Moderate Engagement
100645,2,Moderate Engagement
100646,1,Low Engagement / At-Risk
100647,2,Moderate Engagement
100648,3,Occasional / Content-Light
100649,3,Occasional / Content-Light
100650,1,Low Engagement / At-Risk
100651,0,High Engagement
100652,2,Moderate Engagement
100653,0,High Engagement
100654,3,Occasional / Content-Light
100655,0,High Engagement
100656,1,Low Engagement / At-Risk
100657,1,Low Engagement / At-Risk
100658,1,Low Engagement / At-Risk
100659,1,Low Engagement / At-Risk
100660,1,Low Engagement / At-Risk
100661,1,Low Engagement / At-Risk
100662,0,High Engagement
100663,2,Moderate Engagement
100664,3,Occasional / Content-Light
100665,1,Low Engagement / At-Risk
100666,0,High Engagement
100667,3,Occasional / Content-Light
100668,1,Low Engagement / At-Risk
100669,3,Occasional / Content-Light
100670,3,Occasional / Content-Light
100671,0,High Engagement
100672,0,High Engagement
100673,2,Moderate Engagement
100674,1,Low Engagement / At-Risk
100675,2,Moderate Engagement
100676,2,Moderate Engagement
100677,2,Moderate Engagement
100678,1,Low Engagement / At-Risk
100679,1,Low Engagement / At-Risk
100680,2,Moderate Engagement
100681,2,Moderate Engagement
100682,3,Occasional / Content-Light
100683,3,Occasional / Content-Light
100684,0,High Engagement
100685,1,Low Engagement / At-Risk
100686,3,Occasional / Content-Light
100687,0,High Engagement
100688,2,Moderate Engagement
100689,3,Occasional / Content-Light
100690,1,Low Engagement / At-Risk
100691,3,Occasional / Content-Light
100692,0,High Engagement
100693,1,Low Engagement / At-Risk
100694,2,Moderate Engagement
100695,3,Occasional / Content-Light
100696,1,Low Engagement / At-Risk
100697,3,Occasional / Content-Light
100698,0,High Engagement
100699,0,High Engagement
100700,1,Low Engagement / At-Risk
100701,1,Low Engagement / At-Risk
100702,3,Occasional / Content-Light
100703,0,High Engagement
100704,0,High Engagement
100705,3,Occasional / Content-Light
100706,0,High Engagement
100707,0,High Engagement
100708,0,High Engagement
100709,2,Moderate Engagement
100710,3,Occasional / Content-Light
100711,0,High Engagement
100712,1,Low Engagement / At-Risk
100713,2,Moderate Engagement
100714,0,High Engagement
100715,2,Moderate Engagement
100716,0,High Engagement
100717,0,High Engagement
100718,2,Moderate Engagement
100719,2,Moderate Engagement
100720,3,Occasional / Content-Light
100721,0,High Engagement
100722,1,Low Engagement / At-Risk
100723,3,Occasional / Content-Light
100724,3,Occasional / Content-Light
100725,2,Moderate Engagement
100726,2,Moderate Engagement
100727,2,Moderate Engagement
100728,0,High Engagement
100729,2,Moderate Engagement
100730,3,Occasional / Content-Light
100731,3,Occasional / Content-Light
100732,3,Occasional / Content-Light
100733,3,Occasional / Content-Light
100734,0,High Engagement
100735,0,High Engagement
100736,3,Occasional / Content-Light
100737,1,Low Engagement / At-Risk
100738,2,Moderate Engagement
100739,0,High Engagement
100740,0,High Engagement
100741,1,Low Engagement / At-Risk
100742,3,Occasional / Content-Light
100743,2,Moderate Engagement
100744,3,Occasional / Content-Light
100745,0,High Engagement
100746,2,Moderate Engagement
100747,0,High Engagement
100748,0,High Engagement
100749,1,Low Engagement / At-Risk
100750,3,Occasional / Content-Light
100751,0,High Engagement
100752,1,Low Engagement / At-Risk
100753,1,Low Engagement / At-Risk
100754,3,Occasional / Content-Light
100755,3,Occasional / Content-Light
100756,0,High Engagement
100757,2,Moderate Engagement
100758,0,High Engagement
100759,1,Low Engagement / At-Risk
100760,0,High Engagement
100761,0,High Engagement
100762,0,High Engagement
100763,1,Low Engagement / At-Risk
100764,2,Moderate Engagement
100765,1,Low Engagement / At-Risk
100766,0,High Engagement
100767,1,Low Engagement / At-Risk
100768,3,Occasional / Content-Light
100769,1,Low Engagement / At-Risk
100770,1,Low Engagement / At-Risk
100771,1,Low Engagement / At-Risk
100772,0,High Engagement
100773,0,High Engagement
100774,2,Moderate Engagement
100775,2,Moderate Engagement
100776,1,Low Engagement / At-Risk
100777,2,Moderate Engagement
100778,3,Occasional / Content-Light
100779,3,Occasional / Content-Light
100780,3,Occasional / Content-Light
100781,0,High Engagement
100782,0,High Engagement
100783,0,High Engagement
100784,0,High Engagement
100785,0,High Engagement
100786,2,Moderate Engagement
100787,0,High Engagement
100788,1,Low Engagement / At-Risk
100789,1,Low Engagement / At-Risk
100790,3,Occasional / Content-Light
100791,3,Occasional / Content-Light
100792,1,Low Engagement / At-Risk
100793,0,High Engagement
100794,0,High Engagement
100795,0,High Engagement
100796,1,Low Engagement / At-Risk
100797,0,High Engagement
100798,0,High Engagement
100799,1,Low Engagement / At-Risk
100800,1,Low Engagement / At-Risk
100801,1,Low Engagement / At-Risk
100802,1,Low Engagement / At-Risk
100803,0,High Engagement
100804,1,Low Engagement / At-Risk
100805,3,Occasional / Content-Light
100806,3,Occasional / Content-Light
100807,3,Occasional / Content-Light
100808,2,Moderate Engagement
100809,3,Occasional / Content-Light
100810,3,Occasional / Content-Light
100811,2,Moderate Engagement
100812,3,Occasional / Content-Light
100813,0,High Engagement
100814,2,Moderate Engagement
100815,0,High Engagement
100816,0,High Engagement
100817,3,Occasional / Content-Light
100818,0,High Engagement
100819,0,High Engagement
100820,3,Occasional / Content-Light
100821,2,Moderate Engagement
100822,0,High Engagement
100823,2,Moderate Engagement
100824,0,High Engagement
100825,2,Moderate Engagement
100826,2,Moderate Engagement
100827,3,Occasional / Content-Light
100828,0,High Engagement
100829,2,Moderate Engagement
100830,1,Low Engagement / At-Risk
100831,2,Moderate Engagement
100832,0,High Engagement
100833,1,Low Engagement / At-Risk
100834,0,High Engagement
100835,0,High Engagement
100836,0,High Engagement
100837,3,Occasional / Content-Light
100838,3,Occasional / Content-Light
100839,3,Occasional / Content-Light
100840,3,Occasional / Content-Light
100841,3,Occasional / Content-Light
100842,1,Low Engagement / At-Risk
100843,3,Occasional / Content-Light
100844,3,Occasional / Content-Light
100845,1,Low Engagement / At-Risk
100846,0,High Engagement
100847,0,High Engagement
100848,3,Occasional / Content-Light
100849,3,Occasional / Content-Light
100850,0,High Engagement
100851,2,Moderate Engagement
100852,2,Moderate Engagement
100853,3,Occasional / Content-Light
100854,0,High Engagement
100855,2,Moderate Engagement
100856,1,Low Engagement / At-Risk
100857,0,High Engagement
100858,2,Moderate Engagement
100859,0,High Engagement
100860,2,Moderate Engagement
100861,2,Moderate Engagement
100862,3,Occasional / Content-Light
100863,2,Moderate Engagement
100864,0,High Engagement
100865,2,Moderate Engagement
100866,3,Occasional / Content-Light
100867,1,Low Engagement / At-Risk
100868,2,Moderate Engagement
100869,3,Occasional / Content-Light
100870,0,High Engagement
100871,0,High Engagement
100872,0,High Engagement
100873,3,Occasional / Content-Light
100874,0,High Engagement
100875,1,Low Engagement / At-Risk
100876,2,Moderate Engagement
100877,3,Occasional / Content-Light
100878,1,Low Engagement / At-Risk
100879,1,Low Engagement / At-Risk
100880,1,Low Engagement / At-Risk
100881,0,High Engagement
100882,1,Low Engagement / At-Risk
100883,0,High Engagement
100884,2,Moderate Engagement
100885,2,Moderate Engagement
100886,0,High Engagement
100887,2,Moderate Engagement
100888,2,Moderate Engagement
100889,1,Low Engagement / At-Risk
100890,3,Occasional / Content-Light
100891,1,Low Engagement / At-Risk
100892,1,Low Engagement / At-Risk
100893,2,Moderate Engagement
100894,1,Low Engagement / At-Risk
100895,1,Low Engagement / At-Risk
100896,0,High Engagement
100897,0,High Engagement
100898,2,Moderate Engagement
100899,3,Occasional / Content-Light
100900,1,Low Engagement / At-Risk
100901,2,Moderate Engagement
100902,2,Moderate Engagement
100903,2,Moderate Engagement
100904,1,Low Engagement / At-Risk
100905,3,Occasional / Content-Light
100906,3,Occasional / Content-Light
100907,2,Moderate Engagement
100908,0,High Engagement
100909,1,Low Engagement / At-Risk
100910,0,High Engagement
100911,1,Low Engagement / At-Risk
100912,2,Moderate Engagement
100913,0,High Engagement
100914,1,Low Engagement / At-Risk
100915,0,High Engagement
100916,0,High Engagement
100917,3,Occasional / Content-Light
100918,0,High Engagement
100919,3,Occasional / Content-Light
100920,2,Moderate Engagement
100921,3,Occasional / Content-Light
100922,0,High Engagement
100923,2,Moderate Engagement
100924,0,High Engagement
100925,1,Low Engagement / At-Risk
100926,3,Occasional / Content-Light
100927,2,Moderate Engagement
100928,1,Low Engagement / At-Risk
100929,1,Low Engagement / At-Risk
100930,2,Moderate Engagement
100931,2,Moderate Engagement
100932,0,High Engagement
100933,3,Occasional / Content-Light
100934,3,Occasional / Content-Light
100935,3,Occasional / Content-Light
100936,2,Moderate Engagement
100937,1,Low Engagement / At-Risk
100938,0,High Engagement
100939,3,Occasional / Content-Light
100940,0,High Engagement
100941,3,Occasional / Content-Light
100942,1,Low Engagement / At-Risk
100943,2,Moderate Engagement
100944,0,High Engagement
100945,1,Low Engagement / At-Risk
100946,0,High Engagement
100947,3,Occasional / Content-Light
100948,0,High Engagement
100949,1,Low Engagement / At-Risk
100950,1,Low Engagement / At-Risk
100951,0,High Engagement
100952,0,High Engagement
100953,0,High Engagement
100954,1,Low Engagement / At-Risk
100955,0,High Engagement
100956,2,Moderate Engagement
100957,0,High Engagement
100958,3,Occasional / Content-Light
100959,2,Moderate Engagement
100960,2,Moderate Engagement
100961,3,Occasional / Content-Light
100962,1,Low Engagement / At-Risk
100963,0,High Engagement
100964,3,Occasional / Content-Light
100965,0,High Engagement
100966,0,High Engagement
100967,2,Moderate Engagement
100968,0,High Engagement
100969,3,Occasional / Content-Light
100970,1,Low Engagement / At-Risk
100971,1,Low Engagement / At-Risk
100972,0,High Engagement
100973,3,Occasional / Content-Light
100974,3,Occasional / Content-Light
100975,3,Occasional / Content-Light
100976,3,Occasional / Content-Light
100977,2,Moderate Engagement
100978,0,High Engagement
100979,2,Moderate Engagement
